agent,baseline,scenario,metric,agent_mean,baseline_mean,diff,ci95_low,ci95_high,p_value,significant,n_episodes
mlp,hybrid,light_mixed,mean_latency_ns,1422760.0536449838,1407333.0229965078,15427.030648475618,-14982.47522781675,45836.53652476799,0.3183355987301002,False,200
mlp,hybrid,medium_mixed,mean_latency_ns,1052240.4562670027,1003663.3959339708,48577.060333031826,4918.675737003832,92235.44492905983,0.029384375252039123,True,200
mlp,hybrid,heavy_inference,mean_latency_ns,1336164.3381094886,1242622.39209349,93541.94601599831,11386.080461239544,175697.81157075707,0.025851896513975292,True,200
mlp,hybrid,burst_storm,mean_latency_ns,1244348.7004076883,1019651.0029531863,224697.69745450187,-37040.509997218294,486435.904906222,0.09204121657817424,False,200
mlp,hybrid,deadline_pressure,mean_latency_ns,783665.511266934,777580.1430921766,6085.368174757282,366.85579535598663,11803.880554158577,0.03712607525443663,True,200
mlp,hybrid,memory_pressure,mean_latency_ns,1476475.320121755,1465940.468255171,10534.85186658382,-1506.3386409147297,22576.042374082368,0.08603178839311702,False,200
mlp,hybrid,asymmetric,mean_latency_ns,1454561.8300308993,1454507.5620138282,54.268017071444774,-38.922051716714634,147.45808585960418,0.2522054583290594,False,200
ppo,hybrid,light_single,mean_latency_ns,1519746.817024087,1305064.4477350533,214682.36928903376,207928.60391714174,221436.13466092577,5.383853476982166e-133,True,200
ppo,hybrid,light_mixed,mean_latency_ns,1604274.8255121696,1407333.0229965078,196941.80251566143,190361.85796377528,203521.74706754758,4.651823903071974e-128,True,200
ppo,hybrid,medium_mixed,mean_latency_ns,1375894.2693601744,1003663.3959339708,372230.8734262037,360816.02209408215,383645.7247583252,4.2381844755079843e-135,True,200
ppo,hybrid,heavy_inference,mean_latency_ns,1859443.8528699302,1242622.39209349,616821.4607764403,604661.8590510135,628981.0625018672,4.1094128902955055e-172,True,200
ppo,hybrid,burst_storm,mean_latency_ns,1496742.1912927672,1019651.0029531863,477091.1883395806,451014.13067844906,503168.24600071216,3.0186528419164888e-89,True,200
ppo,hybrid,deadline_pressure,mean_latency_ns,644303.279292987,777580.1430921766,-133276.86379918962,-134815.40803675086,-131738.3195616284,8.31250453837311e-218,True,200
ppo,hybrid,memory_pressure,mean_latency_ns,1370298.5895525182,1465940.468255171,-95641.87870265283,-97908.43182244088,-93375.32558286478,1.424892394102183e-156,True,200
ppo,hybrid,asymmetric,mean_latency_ns,2050841.1634524213,1454507.5620138282,596333.6014385937,580422.4012372012,612244.8016399862,1.2055018657258336e-146,True,200
xgboost,hybrid,light_single,mean_latency_ns,1904792.7672424084,1305064.4477350533,599728.3195073551,426594.0630435093,772862.5759712008,1.0037490157343832e-10,True,200
xgboost,hybrid,light_mixed,mean_latency_ns,2028233.4735707734,1407333.0229965078,620900.4505742656,450602.8541226788,791198.0470258524,1.283246486980629e-11,True,200
xgboost,hybrid,medium_mixed,mean_latency_ns,1196774.820457203,1003663.3959339708,193111.4245232322,101011.3131979214,285211.53584854305,5.237514213283107e-05,True,200
xgboost,hybrid,heavy_inference,mean_latency_ns,2238310.964988233,1242622.39209349,995688.5728947431,762880.4994401406,1228496.6463493456,6.767898377934004e-15,True,200
xgboost,hybrid,burst_storm,mean_latency_ns,1617027.3167934872,1019651.0029531863,597376.3138403007,295751.8584219217,899000.7692586796,0.00012874177792172268,True,200
xgboost,hybrid,deadline_pressure,mean_latency_ns,778624.5919708174,777580.1430921766,1044.4488786407765,-1015.1589227313075,3104.0566800128604,0.31852491231977365,False,200
xgboost,hybrid,memory_pressure,mean_latency_ns,1472773.021212718,1465940.468255171,6832.552957547171,-2776.4847488084733,16441.590663902814,0.16242266169940542,False,200
xgboost,hybrid,asymmetric,mean_latency_ns,2072632.1153862232,1454507.5620138282,618124.5533723955,438330.35478168033,797918.7519631106,1.339807849210316e-10,True,200
